description,name,industry,headquarters,phoneNumber,contact,ein,401kPlan
,Walmart,Discount Stores,"508 SW 8TH STREET, BENTONVILLE, AR, 72716-3500",800-421-1362,HoganTaylor LLP Preparer,71-0415188,"{""name"":""Walmart 401(k) Plan"",""provider"":"""",""websiteURL"":""https://www.benefits.ml.com/login/login"",""phoneNumber"":""1-866-820-1492"",""faxNumber"":""866-994-7807"",""hoursOfOperation"":""Monday - Friday: 9am - 9pm EST, No weekend hours"",""address"":""P.O. Box 29002, Hot Springs, AR, 71903-9002""}"
,The Home Depot,Home Improvement,"2455 PACES FERRY ROAD, NW, STE C-18, ATLANTA, GA, 30339-4024",770-384-5328,DON BUBEN,95-3261426,"{""name"":""The Home Depot Futurebuilder"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,HCA,Healthcare,"ONE PARK PLAZA, P.O. BOX 550, NASHVILLE, TN, 37202-0550",615--34-4-8777,SHERRI HENRY,75-2497104,"{""name"":""HCA 401(k) Plan"",""provider"":"""",""websiteURL"":""https://rch1.com/contact-us"",""phoneNumber"":""1-888-472-7678"",""faxNumber"":""704-353-9841"",""hoursOfOperation"":""Monday - Friday: 8am - 7pm EST"",""address"":""1916 Arysley Town Blvd, Suite 200, Charlotte, NC, 28273""}"
,Wells Fargo,Banking,"550 S. 4TH STREET, MINNEAPOLIS, MN, 55415",877-479-3557,MARK HICKMAN,41-0449260,"{""name"":""WELLS FARGO & COMPANY 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://benefitconnect.wf.ehr.com/ESS/Shared/Account/LogOn?ReturnUrl=%2fESS"",""phoneNumber"":""1-877-479-3557"",""faxNumber"":""1-844-879-0200"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm EST"",""address"":""1525 West W. T. Harris Blvd., Charlotte, NC, 28262""}"
,Amazon,Internet Retail,"440 TERRY AVENUE NORTH, SEATTLE, WA, 98109",206-266-1000,SCOTT SANDER,91-1986545,"{""name"":""AMAZON. COM 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,Target,Discount Stores,"7000 TARGET PARKWAY, BROOKLYN PARK, MN, 55445",612-307-5037,MATTHEW LIEGEL,41-0215170,"{""name"":""TARGET CORPORATION 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,Lowes,Home Improvement,"1000 LOWES BLVD, MOORESVILLE, NC, 28117",704-758-1000,DAVID R. GREEN,56-0578072,"{""name"":""LOWES 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://login.principal.com/login"",""phoneNumber"":""800-547-7754"",""faxNumber"":""866-704-3481"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST, No weekend hours"",""address"":""PO Box 9394, Des Moines, IA, 50306-9394""}"
,JPMorgan Chase,Banking,"545 WASHINGTON BLVD, 12TH FLOOR, MAIL CODE NY1-G120, JERSEY CITY, NJ, 07310",877-576-2427,BERNADETTE J BRANOSKY,13-4994650,"{""name"":""JPMORGAN CHASE 401(K) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://participant.empower-retirement.com/participant/#/register/"",""phoneNumber"":""855-756-4738"",""faxNumber"":""303-737-3414"",""hoursOfOperation"":""Monday - Friday: 9am - 8pm EST, Saturday: 9am - 5:30pm ET for eligible plans only"",""address"":""8515 E. Orchard Road, Greenwood Village, CO, 80111""}"
,Starbucks,Restaurants,"2401 UTAH AVENUE SO., SUITE 800, SEATTLE, WA, 98134",206-318-4288,LISA COUTTS,91-1325671,"{""name"":""STARBUCKS CORPORATION 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,AT&T,Telecom Services,"P.O. BOX 132160, DALLAS, TX, 75313-2160",210-351-3333,PAUL W. STEPHENS,43-1301883,"{""name"":""AT&T RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
